Merk,Model,Tahun Produksi,Jarak Tempuh,Warna,Engine CC,Transmission,Seat Capacity,Harga,Fuel Type,Umur Mobil
Honda,Hr,2018.0,89280.0,Grey,1497.0,Automatic,5.0,192000000.0,Petrol,7.0
Mitsubishi,Pajero,2022.0,47500.0,Brown,2442.0,Automatic,7.0,449000000.0,Diesel,3.0
Toyota,Avanza,2019.0,102500.0,Black,1329.0,Automatic,7.0,142000000.0,Petrol,6.0
Toyota,Kijang,2020.0,132500.0,Black,1998.0,Manual,8.0,222500000.0,Petrol,5.0
Honda,Hr,2019.0,167500.0,Grey,1799.0,Automatic,5.0,198000000.0,Petrol,6.0
Toyota,Fortuner,2020.0,102500.0,Black,2393.0,Automatic,7.0,380000000.0,Diesel,5.0
Honda,Cr,2016.0,92500.0,Black,2354.0,Automatic,5.0,190000000.0,Petrol,9.0
Mitsubishi,Grandis,2006.0,132500.0,Black,2378.0,Automatic,7.0,69000000.0,Petrol,19.0
Honda,Cr,2022.0,37500.0,Grey,1498.0,Automatic,5.0,435000000.0,Petrol,3.0
Honda,Cr,2019.0,77500.0,Silver,1498.0,Automatic,5.0,335000000.0,Petrol,6.0
Hyundai,Creta,2022.0,42500.0,Grey,1497.0,Automatic,5.0,215000000.0,Petrol,3.0
Honda,Cr,2018.0,72500.0,Silver,1498.0,Automatic,5.0,300000000.0,Petrol,7.0
Mitsubishi,Pajero,2023.0,27500.0,Grey,2442.0,Automatic,7.0,495000000.0,Diesel,2.0
Mitsubishi,Pajero,2023.0,37500.0,White,2442.0,Automatic,7.0,485000000.0,Diesel,2.0
Mazda,Cx,2023.0,12500.0,Grey,2488.0,Automatic,7.0,560000000.0,Petrol,2.0
Toyota,Raize,2022.0,17500.0,Red,998.0,Automatic,5.0,200000000.0,Petrol,3.0
Toyota,Kijang,2022.0,52500.0,Silver,2393.0,Automatic,8.0,345000000.0,Diesel,3.0
Hyundai,Santa,2021.0,22500.0,Blue,2151.0,Automatic,7.0,440000000.0,Diesel,4.0
